smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,co2_location_label,fuel_region_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-htse_capacity,prefix,ProbabilityWeight-ft_capacity,ProbabilityWeight-h2_storage_capacity,PointProbability,ProbabilityWeight
240.0,-101.0,-2529.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,241355.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-772270986.947,813140.785141,-772052740.004,-771545985.173,-773432482.609,-773237904.446,-771609615.17,4.0,661197936460.0,0.125,125,0.125,0.125005697238,1.06825089311e-11,0.00195321401935
240.0,-194.0,-3311.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,181016.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-773454312.324,1300626.76226,-772956537.718,-772559314.083,-775344859.779,-775034533.979,-772570975.12,4.0,1691629974710.0,0.25,92,0.25,0.250009322754,1.06825089311e-11,0.0156255826721
240.0,-194.0,-3311.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-778440664.841,507175.999019,-778570857.719,-777738297.543,-778882646.383,-778859384.239,-777839675.415,4.0,257227493981.0,0.25,77,0.25,0.124984980008,1.06825089311e-11,0.00781156125049
240.0,-194.0,-3311.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,241355.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-781086875.631,898080.114811,-780793342.646,-780361893.609,-782398923.623,-782159768.837,-780424928.605,4.0,806547892619.0,0.25,97,0.25,0.125005697238,1.06825089311e-11,0.0078128560774
240.0,-132.0,-2529.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,60339.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-784771892.131,268736.010367,-784791679.219,-784457247.263,-785046962.824,-785030201.63,-784485880.709,4.0,72219043268.1,0.25,109,0.125,0.249990677246,1.06825089311e-11,0.00781220866395
240.0,-132.0,-2529.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,120678.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-790265698.611,1382616.52958,-790801453.867,-788217713.217,-791242173.494,-791188191.75,-788593148.114,4.0,1911628467870.0,0.25,114,0.125,0.250009322754,1.06825089311e-11,0.00781279133605
240.0,-225.0,-3311.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,60339.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-791449602.654,1010531.71263,-791588402.608,-790285246.43,-792336358.972,-792323829.766,-790381055.608,4.0,1021174342230.0,0.125,81,0.25,0.249990677246,1.06825089311e-11,0.00781220866395
240.0,-132.0,-2529.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-792520270.128,1477610.67052,-792569810.112,-790839699.836,-794101760.453,-793989105.48,-790982078.8,4.0,2183333293630.0,0.25,104,0.125,0.124984980008,1.06825089311e-11,0.00390578062525
240.0,-132.0,-2529.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,181016.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-795504719.284,738307.961443,-795510182.557,-794725616.651,-796272895.372,-796228695.887,-794773094.099,4.0,545098645930.0,0.25,119,0.125,0.250009322754,1.06825089311e-11,0.00781279133605
240.0,-225.0,-3311.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,120678.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-797120749.857,1677436.72328,-796919871.788,-795529282.949,-799113972.902,-798929316.88,-795593412.129,4.0,2813793960620.0,0.125,86,0.25,0.250009322754,1.06825089311e-11,0.00781279133605
240.0,-132.0,-2529.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,241355.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-802810095.417,1235189.94789,-802978955.985,-801248564.656,-804033905.042,-803956715.897,-801427070.142,4.0,1525694207380.0,0.25,124,0.125,0.125005697238,1.06825089311e-11,0.0039064280387
240.0,-225.0,-3311.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,181016.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-804990551.966,1088038.59804,-805245380.221,-803515722.964,-805955724.459,-805908695.667,-803715648.709,4.0,1183827990820.0,0.125,91,0.25,0.250009322754,1.06825089311e-11,0.00781279133605
240.0,-225.0,-3311.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,241355.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-812218801.698,1762703.6347,-811650137.653,-810858175.401,-814716756.083,-814337786.558,-810895946.5,4.0,3107124103800.0,0.125,96,0.25,0.125005697238,1.06825089311e-11,0.0039064280387
240.0,-225.0,-3311.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-812281482.49,908799.602963,-812602377.988,-810962879.909,-812958294.075,-812933957.063,-811179754.22,4.0,825916718345.0,0.125,76,0.25,0.124984980008,1.06825089311e-11,0.00390578062525
240.0,-163.0,-2529.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,60339.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-814389702.327,1290074.23043,-814357521.539,-812860107.925,-815983658.305,-815774987.576,-813049470.181,4.0,1664291520020.0,0.25,108,0.125,0.249990677246,1.06825089311e-11,0.00781220866395
