smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,co2_location_label,fuel_region_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity,ProbabilityWeight-ft_capacity,ProbabilityWeight,PointProbability,prefix
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1590346624.44,1145998.37712,-1590191555.32,-1589174857.75,-1591828529.36,-1591643241.88,-1589267103.76,4.0,1313312280350.0,0.250003306843,0.249546279492,0.250018051845,0.0155979749784,1.7334191682000001e-13,68
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1612870801.27,1170278.57111,-1612908140.3,-1611555806.52,-1614111117.94,-1614027782.29,-1611661545.59,4.0,1369551934000.0,0.250003306843,0.249546279492,0.250018051845,0.0155979749784,1.7334191682000001e-13,62
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1640169676.15,2582465.70978,-1639594853.06,-1637691005.2,-1643797993.29,-1643188211.73,-1637955892.9,4.0,6669129142170.0,0.250003306843,0.125226860254,0.249981948155,0.00782621714084,1.7334191682000001e-13,91
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1659843358.14,2563342.47447,-1659477131.53,-1657114176.99,-1663304992.5,-1662742713.5,-1657456720.03,4.0,6570724641410.0,0.249996693157,0.125226860254,0.250018051845,0.00782714037597,1.7334191682000001e-13,56
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1667702990.3,2198709.71036,-1668181824.35,-1664812679.14,-1669635633.39,-1669565880.14,-1665169732.8,4.0,4834324390450.0,0.125001984106,0.249546279492,0.250018051845,0.00779900812097,1.7334191682000001e-13,73
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1674489463.11,2542936.59266,-1673549076.8,-1672617652.48,-1678242046.36,-1677560693.4,-1672734773.66,4.0,6466526514290.0,0.124994709051,0.125226860254,0.250018051845,0.00391345630072,1.7334191682000001e-13,51
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1692857943.11,2071977.40114,-1692091967.64,-1691343071.81,-1695904765.34,-1695370774.25,-1691417477.62,4.0,4293090350860.0,0.250003306843,0.249546279492,0.250018051845,0.0155979749784,1.7334191682000001e-13,67
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1720307172.77,1327384.77638,-1720429522.63,-1718782011.74,-1721587634.09,-1721534395.24,-1718908660.51,4.0,1761950344560.0,0.125001984106,0.125226860254,0.249981948155,0.00391311892231,1.7334191682000001e-13,96
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1736342484.88,2156334.08159,-1737001154.71,-1733215688.67,-1738151941.43,-1737997892.73,-1733764939.27,4.0,4649776671420.0,0.250003306843,0.125226860254,0.250018051845,0.00782734744372,1.7334191682000001e-13,61
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1769401721.46,1596555.1469,-1769129011.22,-1767758316.24,-1771590547.18,-1771229857.89,-1767955379.38,4.0,2548988337080.0,0.125001984106,0.249546279492,0.250018051845,0.00779900812097,1.7334191682000001e-13,72
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1769726733.55,1169798.61756,-1769384753.84,-1768773731.62,-1771363694.91,-1771123331.39,-1768808907.32,4.0,1368428805660.0,0.249996693157,0.249546279492,0.250018051845,0.0155975623434,1.7334191682000001e-13,32
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1817066116.98,2872008.86671,-1816741857.74,-1813915909.01,-1820864843.42,-1820291505.92,-1814294690.97,4.0,8248434930470.0,0.250003306843,0.125226860254,0.250018051845,0.00782734744372,1.7334191682000001e-13,66
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1848466619.23,760877.897962,-1848294944.27,-1847742925.54,-1849533662.82,-1849361079.89,-1847812503.5,4.0,578935175608.0,0.250003306843,0.249546279492,0.250018051845,0.0155979749784,1.7334191682000001e-13,37
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1851530389.7,1627955.79335,-1851083538.51,-1850204955.28,-1853749526.53,-1853448561.46,-1850237809.63,4.0,2650240065120.0,0.124994709051,0.125226860254,0.250018051845,0.00391345630072,1.7334191682000001e-13,26
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1864660131.48,1353320.00849,-1864544174.12,-1863193536.18,-1866358641.51,-1866156160.47,-1863326442.8,4.0,1831475045390.0,0.249996693157,0.125226860254,0.250018051845,0.00782714037597,1.7334191682000001e-13,31
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1895000061.47,4117982.40843,-1894876702.2,-1890355974.31,-1899890867.17,-1899384197.07,-1890788628.84,4.0,16957779116100.0,0.125001984106,0.125226860254,0.250018051845,0.00391368407525,1.7334191682000001e-13,71
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1925449168.62,959096.975062,-1925392330.19,-1924476042.01,-1926535972.07,-1926448279.86,-1924529631.17,4.0,919867007573.0,0.250003306843,0.249546279492,0.250018051845,0.0155979749784,1.7334191682000001e-13,42
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1942617826.74,1880428.66111,-1942942754.6,-1940039600.63,-1944546197.12,-1944324360.83,-1940456393.63,4.0,3536011949510.0,0.250003306843,0.125226860254,0.250018051845,0.00782734744372,1.7334191682000001e-13,36
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-2000999212.52,1846701.6712,-2000691407.62,-1999237283.87,-2003376750.96,-2003094153.28,-1999335198.61,4.0,3410307062420.0,0.125001984106,0.249546279492,0.250018051845,0.00779900812097,1.7334191682000001e-13,47
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-2022274592.06,1687919.65835,-2022295161.66,-2020204180.15,-2024303864.76,-2024042502.55,-2020477884.13,4.0,2849072773030.0,0.250003306843,0.125226860254,0.250018051845,0.00782734744372,1.7334191682000001e-13,41
