smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-htse_capacity,prefix,ProbabilityWeight,PointProbability,ProbabilityWeight-ft_capacity,ProbabilityWeight-h2_storage_capacity
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-698702559.054,1117922.32361,-698442195.93,-697777256.238,-700148588.119,-699979220.206,-697790406.276,4.0,1249750321620.0,0.250453720508,124,0.00391314997922,3.46688419418e-13,0.124990974078,0.125002976198
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-705618297.462,1557548.831,-705146682.386,-704320021.492,-707859803.584,-707490058.885,-704406797.146,4.0,2425958360960.0,0.249546279492,103,0.0038985593187,3.46688419418e-13,0.124990974078,0.12498974865
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-707496230.601,795068.516801,-707425644.83,-706680802.626,-708452830.119,-708357466.522,-706733814.761,4.0,632133946408.0,0.249546279492,108,0.00779753121829,3.46688419418e-13,0.124990974078,0.249992724848
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-731017067.486,1257740.37186,-731021550.324,-729472367.608,-732552801.687,-732326655.838,-729701203.159,4.0,1581910843000.0,0.125226860254,96,0.00391314997922,3.46688419418e-13,0.249981948155,0.125002976198
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-760624821.786,1436881.10028,-761167632.473,-758511759.744,-761652262.454,-761610295.904,-758879412.707,4.0,2064627296350.0,0.249546279492,113,0.00779798505727,3.46688419418e-13,0.124990974078,0.250007275152
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-815568634.71,1251406.65799,-815344275.302,-814296241.185,-817289747.051,-817011413.203,-814439959.388,4.0,1566018623660.0,0.249546279492,118,0.00779798505727,3.46688419418e-13,0.124990974078,0.250007275152
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-871184629.948,1428049.5326,-871189881.202,-869833803.981,-872524953.407,-872492287.741,-869869620.4,4.0,2039325467570.0,0.249546279492,123,0.00389897189959,3.46688419418e-13,0.124990974078,0.125002976198
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-876194622.985,2094730.37024,-875682997.068,-874249582.228,-879162915.575,-878663730.604,-874441791.649,4.0,4387895324010.0,0.249546279492,107,0.00779753121829,3.46688419418e-13,0.124990974078,0.249992724848
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-887374241.629,365183.3571,-887358886.544,-886945377.213,-887833816.215,-887769669.408,-887000310.969,4.0,133358884303.0,0.249546279492,102,0.0038985593187,3.46688419418e-13,0.124990974078,0.12498974865
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-931110921.915,2395731.0364,-931929999.565,-927711901.809,-932871786.723,-932847807.842,-928227327.279,4.0,5739527198750.0,0.249546279492,112,0.00779798505727,3.46688419418e-13,0.124990974078,0.250007275152
