smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-h2_storage_capacity,prefix,ProbabilityWeight-meoh_capacity,PointProbability,ProbabilityWeight,ProbabilityWeight-htse_capacity
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,3754623.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1221836585.26,12606601.2632,-1221836585.26,-1212922372.02,-1230750798.5,-1229859377.17,-1213813793.34,2.0,158926395411000.0,0.250000499385,83,0.249963898917,2.6175466018599997e-14,0.0156511283828,0.250453720508
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1262789316.28,31314069.8336,-1262789316.28,-1240646925.15,-1284931707.4,-1282717468.29,-1242861164.26,2.0,980570969545000.0,0.250000499385,65,0.125018050542,2.6175466018599997e-14,0.00779946292521,0.249546279492
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,3754623.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1268853263.02,36125709.3683,-1268853263.02,-1243308528.95,-1294397997.09,-1291843523.68,-1245863002.35,2.0,1305066877370000.0,0.250000499385,94,0.25,2.6175466018599997e-14,0.0155966736232,0.249546279492
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,3754623.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1342635062.69,16223794.7916,-1342635062.69,-1331163107.38,-1354107018.0,-1352959822.47,-1332310302.91,2.0,263211517440000.0,0.250000499385,78,0.249963898917,2.6175466018599997e-14,0.00782556419142,0.125226860254
720.0,-529.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1381930651.8,36675049.6037,-1381930651.8,-1355997475.53,-1407863828.08,-1405270510.45,-1358590793.16,2.0,1345059263430000.0,0.250000499385,60,0.125018050542,2.6175466018599997e-14,0.00782782460857,0.250453720508
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,3754623.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1421575454.31,56901517.7037,-1421575454.31,-1381340005.28,-1461810903.34,-1457787358.44,-1385363550.19,2.0,3237782716980000.0,0.250000499385,89,0.25,2.6175466018599997e-14,0.0155966736232,0.249546279492
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,5006164.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1436784824.54,21451334.3819,-1436784824.54,-1421616440.53,-1451953208.55,-1450436370.15,-1423133278.94,2.0,460159746764000.0,0.125000249693,107,0.25,2.6175466018599997e-14,0.0078266944,0.250453720508
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,3754623.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1468371225.75,22801645.5166,-1468371225.75,-1452248027.59,-1484494423.92,-1482882104.1,-1453860347.4,2.0,519915038265000.0,0.250000499385,100,0.125018050542,2.6175466018599997e-14,0.00391391230429,0.125226860254
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,5006164.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1512768998.49,29935510.3612,-1512768998.49,-1491601396.12,-1533936600.87,-1531819840.63,-1493718156.36,2.0,896134780585000.0,0.125000249693,102,0.25,2.6175466018599997e-14,0.0039133472,0.125226860254
720.0,-667.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1562360130.47,55923850.1754,-1562360130.47,-1522815996.78,-1601904264.16,-1597949850.79,-1526770410.15,2.0,3127477018440000.0,0.250000499385,55,0.125018050542,2.6175466018599997e-14,0.00391391230429,0.125226860254
