npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight-htse_capacity,ProbabilityWeight,prefix,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-ft_capacity
894.0,-350.0,-4356.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,235646.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1473949478.88,5265229.73538,1474762404.3,1479380866.79,1466892240.11,1467903668.65,1478857193.51,4.0,27722644166400.0,8.47275451554e-14,0.25,0.00781240882669,109,0.249997082454,0.125
894.0,-173.0,-4356.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,706937.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1456210404.14,7330483.43633,1459503922.9,1460582410.54,1445251360.21,1447331310.15,1460478571.85,4.0,53735987410300.0,8.47275451554e-14,0.125354107649,0.00391736157982,120,0.250002917546,0.125
894.0,-879.0,-8790.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,235646.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1433922949.89,6573330.69637,1433730698.4,1440003545.84,1428226856.92,1428229939.32,1439885112.54,4.0,43208676443900.0,8.47275451554e-14,0.124645892351,0.00779027735693,81,0.249997082454,0.25
894.0,-703.0,-8790.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,706937.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1430338012.17,1298991.97132,1430265247.2,1431638875.18,1429182679.1,1429194147.92,1431583747.38,4.0,1687380141540.0,8.47275451554e-14,0.25,0.0156251823466,92,0.250002917546,0.25
894.0,-350.0,-4356.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,471291.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1399768377.39,2367123.60613,1398690557.79,1403304833.66,1398387560.29,1398404302.74,1402641399.46,4.0,5603274166680.0,8.47275451554e-14,0.25,0.00781257459634,114,0.250002387083,0.125
894.0,-173.0,-4356.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,942583.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1387309808.38,3651230.84937,1386381770.77,1392328565.51,1384147126.47,1384296133.52,1391622735.89,4.0,13331486715400.0,8.47275451554e-14,0.125354107649,0.00195868078991,125,0.125001458773,0.125
894.0,-879.0,-8790.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1382675152.07,4978336.74791,1381754528.74,1389536933.65,1377654617.13,1378205383.71,1388433793.08,4.0,24783836775500.0,8.47275451554e-14,0.124645892351,0.00389506429344,76,0.124996154144,0.25
894.0,-703.0,-8790.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,942583.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1357632317.84,3083662.20623,1358424072.02,1360313032.48,1353368094.81,1353980161.06,1360176018.75,4.0,9508972602150.0,8.47275451554e-14,0.25,0.00781259117331,97,0.125001458773,0.25
894.0,-879.0,-8790.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,471291.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1356387288.93,1898081.04987,1356903697.71,1358077179.04,1353664581.28,1354142292.39,1357909313.19,4.0,3602711671870.0,8.47275451554e-14,0.124645892351,0.00779044265698,86,0.250002387083,0.25
894.0,-350.0,-4356.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,706937.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1327587860.53,3983245.43119,1328488809.87,1331305494.22,1322068328.18,1322893544.17,1331020847.83,4.0,15866244165100.0,8.47275451554e-14,0.25,0.00781259117331,119,0.250002917546,0.125
894.0,-526.0,-4356.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1327147271.43,7926134.33293,1323290080.65,1339032192.46,1322976731.95,1322995626.26,1336698983.69,4.0,62823605463600.0,8.47275451554e-14,0.25,0.003906129817,103,0.124996154144,0.125
894.0,-526.0,-4356.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,235646.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1322947251.06,2691722.37193,1322452121.74,1326568994.06,1320315766.7,1320519833.6,1326067849.56,4.0,7245369327540.0,8.47275451554e-14,0.25,0.00781240882669,108,0.249997082454,0.125
