npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight,ProbabilityWeight-ft_capacity,PointProbability,ProbabilityWeight-htse_capacity,prefix
522.0,-507.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,203895.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,319268099.173,813478.881473,319268099.173,319843315.607,318692882.74,318750404.383,319785793.963,2.0,661747890603.0,0.250009196248,0.00783362148244,0.25,1.0406674226900002e-12,0.125333333333,91
522.0,-507.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,271860.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,293255906.892,339476.271163,293255906.892,293495952.865,293015860.918,293039865.516,293471948.268,2.0,115244138683.0,0.125004598124,0.00391681074122,0.25,1.0406674226900002e-12,0.125333333333,96
522.0,-320.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,203895.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,292563460.013,1889685.62456,292563460.013,293899669.532,291227250.493,291360871.445,293766048.58,2.0,3570911759670.0,0.250009196248,0.00779360657253,0.125026522385,1.0406674226900002e-12,0.249333333333,118
522.0,-320.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,271860.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,262140150.83,456909.882325,262140150.83,262463234.907,261817066.754,261849375.162,262430926.499,2.0,208766640566.0,0.125004598124,0.00389680328627,0.125026522385,1.0406674226900002e-12,0.249333333333,123
522.0,-413.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,67965.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,257972385.836,1250279.90773,257972385.836,258856467.237,257088304.435,257176712.575,258768059.097,2.0,1563199847680.0,0.249990803752,0.00779303321812,0.125026522385,1.0406674226900002e-12,0.249333333333,107
522.0,-413.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,244031742.964,92523.3224227,244031742.964,244097166.833,243966319.095,243972861.482,244090624.446,2.0,8560565192.13,0.124986205628,0.00389622993185,0.125026522385,1.0406674226900002e-12,0.249333333333,102
522.0,-413.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,135930.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,228740931.587,1305961.13242,228740931.587,229664385.56,227817477.614,227909823.012,229572040.162,2.0,1705534479390.0,0.250009196248,0.00779360657253,0.125026522385,1.0406674226900002e-12,0.249333333333,112
522.0,-413.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,203895.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,198464400.273,1700310.72991,198464400.273,199666701.52,197262099.026,197382329.151,199546471.396,2.0,2891056578250.0,0.250009196248,0.00779360657253,0.125026522385,1.0406674226900002e-12,0.249333333333,117
522.0,-413.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,271860.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,167164570.151,899161.308277,167164570.151,167800373.21,166528767.093,166592347.399,167736792.904,2.0,808491058303.0,0.125004598124,0.00389680328627,0.125026522385,1.0406674226900002e-12,0.249333333333,122
522.0,-507.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,67965.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,163629600.518,163439.797887,163629600.518,163745169.908,163514031.129,163525588.068,163733612.969,2.0,26712567533.2,0.249990803752,0.00391735359627,0.125026522385,1.0406674226900002e-12,0.125333333333,106
522.0,-507.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,146614680.327,1041808.75043,146614680.327,147351350.359,145878010.295,145951677.298,147277683.356,2.0,1085365472480.0,0.124986205628,0.00195853269302,0.125026522385,1.0406674226900002e-12,0.125333333333,101
522.0,-507.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,135930.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,135035611.153,595587.400418,135035611.153,135456755.042,134614467.263,134656581.652,135414640.653,2.0,354724351536.0,0.250009196248,0.00391764180651,0.125026522385,1.0406674226900002e-12,0.125333333333,111
522.0,-507.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,203895.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,105349303.084,533380.000923,105349303.084,105726459.7,104972146.469,105009862.13,105688744.038,2.0,284494225385.0,0.250009196248,0.00391764180651,0.125026522385,1.0406674226900002e-12,0.125333333333,116
522.0,-507.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,271860.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,75398326.0094,1210960.85975,75398326.0094,76254604.6451,74542047.3738,74627675.2373,76168976.7816,2.0,1466426203860.0,0.125004598124,0.00195882090326,0.125026522385,1.0406674226900002e-12,0.125333333333,121
522.0,-507.0,-12743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-110091398548.0,613.768373172,-110091398548.0,-110091398114.0,-110091398982.0,-110091398938.0,-110091398157.0,2.0,376711.615906,0.124986205628,0.00195770175,0.124973477615,1.0406674226900002e-12,0.125333333333,1
522.0,-507.0,-12743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,67965.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-110120924217.0,471.858054149,-110120924217.0,-110120923883.0,-110120924550.0,-110120924517.0,-110120923916.0,2.0,222650.023265,0.249990803752,0.00391569158796,0.124973477615,1.0406674226900002e-12,0.125333333333,6
522.0,-507.0,-12743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,135930.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-110150454006.0,104.367907839,-110150454006.0,-110150453932.0,-110150454080.0,-110150454073.0,-110150453940.0,2.0,10892.6601867,0.250009196248,0.00391597967592,0.124973477615,1.0406674226900002e-12,0.125333333333,11
522.0,-507.0,-12743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,203895.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-110179983717.0,107.016504813,-110179983717.0,-110179983641.0,-110179983792.0,-110179983785.0,-110179983648.0,2.0,11452.5323025,0.250009196248,0.00391597967592,0.124973477615,1.0406674226900002e-12,0.125333333333,16
522.0,-507.0,-12743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,271860.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-110209513974.0,699.187953456,-110209513974.0,-110209513480.0,-110209514469.0,-110209514419.0,-110209513529.0,2.0,488863.794258,0.125004598124,0.00195798983796,0.124973477615,1.0406674226900002e-12,0.125333333333,21
522.0,-413.0,-10387.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-440765331307.0,486668.053854,-440765331307.0,-440764987181.0,-440765675433.0,-440765641021.0,-440765021593.0,2.0,236845794642.0,0.124986205628,0.00779080681749,0.25,1.0406674226900002e-12,0.249333333333,27
522.0,-413.0,-10387.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,67965.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-440794695495.0,255834.664826,-440794695495.0,-440794514592.0,-440794876397.0,-440794858307.0,-440794532683.0,2.0,65451375726.7,0.249990803752,0.0155827601005,0.25,1.0406674226900002e-12,0.249333333333,32
522.0,-413.0,-10387.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,135930.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-440824543719.0,220217.65202,-440824543719.0,-440824388001.0,-440824699436.0,-440824683864.0,-440824403573.0,2.0,48495814261.4,0.250009196248,0.0155839065661,0.25,1.0406674226900002e-12,0.249333333333,37
