smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-h2_storage_capacity,PointProbability,prefix,ProbabilityWeight-ft_capacity,ProbabilityWeight-htse_capacity,ProbabilityWeight
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-752458444.636,14859811.903,-754886923.145,-732498191.678,-767561740.575,-766181492.895,-735335526.464,4.0,220814009792000.0,0.250000944804,4.95258127397e-14,89,0.249981948155,0.250453720508,0.015652286397
720.0,-154.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1984546.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-759983506.631,31380686.8249,-751164140.214,-733021329.278,-804584416.817,-797534650.239,-734779476.006,4.0,984747505602000.0,0.250000944804,4.95258127397e-14,95,0.249981948155,0.125226860254,0.00782614319848
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-806669005.156,22406624.7766,-809005292.86,-782316828.913,-826348605.991,-826153987.082,-783913220.444,4.0,502056833878000.0,0.249999055196,4.95258127397e-14,83,0.249981948155,0.249546279492,0.0155954573367
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-822826350.518,16810440.0742,-819133519.308,-806620168.897,-846418194.56,-842445645.695,-808377019.036,4.0,282590895488000.0,0.124998488314,4.95258127397e-14,78,0.249981948155,0.249546279492,0.00779766383568
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-835482961.061,37410965.5833,-831211037.526,-795185804.844,-884323964.351,-877668723.545,-799277891.528,4.0,1399580345870000.0,0.125000566882,4.95258127397e-14,71,0.250018051845,0.125226860254,0.00391363970343
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1984546.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-869469453.47,10766521.877,-865351718.524,-861803116.426,-885371260.406,-882525733.034,-862178002.831,4.0,115917993328000.0,0.250000944804,4.95258127397e-14,94,0.249981948155,0.250453720508,0.015652286397
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-874494238.006,10177373.1276,-877022663.414,-860030261.339,-883901363.859,-882922619.732,-862526060.71,4.0,103578923779000.0,0.250000944804,4.95258127397e-14,88,0.249981948155,0.249546279492,0.0155955752144
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-918069651.035,26486661.4654,-905504764.97,-903525595.419,-957743478.78,-950101364.096,-903628778.464,4.0,701543235582000.0,0.249999055196,4.95258127397e-14,82,0.249981948155,0.249546279492,0.0155954573367
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-953103560.225,23120790.2781,-948090956.701,-931174813.092,-985057514.406,-980273958.457,-932950806.927,4.0,534570943086000.0,0.124998488314,4.95258127397e-14,77,0.249981948155,0.249546279492,0.00779766383568
720.0,-154.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-986153359.726,38787095.9511,-979065703.5,-949053082.383,-1037428949.52,-1030814868.56,-951414569.61,4.0,1504438812320000.0,0.125000566882,4.95258127397e-14,100,0.249981948155,0.125226860254,0.0039130745569
