smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,prefix,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight,ProbabilityWeight-htse_capacity,ProbabilityWeight-ft_capacity
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-569046925.094,6073403.98037,-566654625.223,-564839489.149,-578038960.78,-576417039.572,-565026030.435,4.0,36886235908800.0,1.7334191682000001e-13,125,0.125001984106,0.00195655946116,0.125226860254,0.124990974078
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-569383180.607,7301994.81324,-567329483.912,-563131482.716,-579742271.887,-578120530.482,-563521006.104,4.0,53319128252600.0,1.7334191682000001e-13,110,0.249996693157,0.00391300505149,0.125226860254,0.124990974078
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-569814008.585,3268672.16737,-570397564.836,-565480049.619,-572980855.048,-572763049.263,-566047989.154,4.0,10684217737800.0,1.7334191682000001e-13,77,0.124994709051,0.00779742807743,0.249546279492,0.249981948155
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-597271901.58,4172470.35422,-596799971.582,-593390067.535,-602097595.62,-601691610.267,-593512894.89,4.0,17409508856900.0,1.7334191682000001e-13,105,0.124994709051,0.00195644559034,0.125226860254,0.124990974078
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-606275582.598,3060923.16844,-606457209.833,-602654830.396,-609533080.329,-609292170.086,-603004716.981,4.0,9369250643100.0,1.7334191682000001e-13,86,0.250003306843,0.00782621714084,0.125226860254,0.249981948155
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-608123175.043,5494297.38041,-606824896.894,-602990285.656,-615852620.727,-614609703.854,-603454235.64,4.0,30187303704400.0,1.7334191682000001e-13,91,0.250003306843,0.00782621714084,0.125226860254,0.249981948155
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-608638065.416,7108818.39677,-609059123.561,-599708259.005,-616725755.54,-615837706.078,-600848943.353,4.0,50535298998300.0,1.7334191682000001e-13,81,0.249996693157,0.00782601010299,0.125226860254,0.249981948155
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-616868696.451,7996961.39298,-615564225.858,-608675816.809,-627670517.277,-626083250.459,-609480401.272,4.0,63951391520800.0,1.7334191682000001e-13,96,0.125001984106,0.00391311892231,0.125226860254,0.249981948155
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-685930098.729,4316644.64313,-686652418.289,-680588305.396,-689827252.941,-689704948.363,-681144001.711,4.0,18633420975100.0,1.7334191682000001e-13,109,0.249996693157,0.00782601010299,0.250453720508,0.124990974078
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-688338529.998,7671166.94542,-688770392.202,-678661353.876,-697151981.711,-696128154.279,-679944298.631,4.0,58846802304600.0,1.7334191682000001e-13,114,0.250003306843,0.00782621714084,0.250453720508,0.124990974078
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-698407855.119,8991363.12377,-699331105.882,-686902214.288,-708066994.424,-707169456.073,-688353703.096,4.0,80844610823600.0,1.7334191682000001e-13,119,0.250003306843,0.00782621714084,0.250453720508,0.124990974078
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-699161358.304,4660949.53174,-699956656.865,-693143088.016,-703589031.47,-703345755.215,-693863543.408,4.0,21724450537400.0,1.7334191682000001e-13,76,0.124994709051,0.00391289118068,0.125226860254,0.249981948155
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-703807939.319,4058957.09722,-704147871.964,-699148817.893,-707787195.454,-707603359.737,-699536613.196,4.0,16475132717100.0,1.7334191682000001e-13,124,0.125001984106,0.00391311892231,0.250453720508,0.124990974078
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-726624965.077,5740989.39018,-725698067.892,-721312377.062,-733791347.46,-733022048.896,-721525537.315,4.0,32958959178200.0,1.7334191682000001e-13,104,0.124994709051,0.00391289118068,0.250453720508,0.124990974078
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-804433542.044,6058382.15021,-805764666.086,-796508966.996,-809695869.01,-809531475.284,-797472035.146,4.0,36703994277900.0,1.7334191682000001e-13,108,0.249996693157,0.00779765499392,0.249546279492,0.124990974078
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-814676216.77,3702130.36619,-815219158.85,-809796735.344,-818469814.038,-818144014.813,-810448299.816,4.0,13705769248300.0,1.7334191682000001e-13,113,0.250003306843,0.00779786128164,0.249546279492,0.124990974078
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-818650210.628,10041701.9889,-817913988.844,-808276654.343,-830496210.479,-829384573.841,-808946557.911,4.0,100835778834000.0,1.7334191682000001e-13,118,0.250003306843,0.00779786128164,0.249546279492,0.124990974078
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-833148055.162,6803094.08143,-830683814.517,-828087695.251,-843136896.363,-841390661.298,-828355385.929,4.0,46282089080800.0,1.7334191682000001e-13,123,0.125001984106,0.0038989409552,0.249546279492,0.124990974078
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-857790375.027,3366929.73845,-856605728.434,-855402832.11,-862547211.128,-861835801.803,-855403453.48,4.0,11336215863700.0,1.7334191682000001e-13,103,0.124994709051,0.00389871403872,0.249546279492,0.124990974078
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-925329350.906,6015072.96835,-926469574.875,-917903525.791,-930474728.085,-930397079.992,-918665308.266,4.0,36181102814600.0,1.7334191682000001e-13,107,0.249996693157,0.00779765499392,0.249546279492,0.124990974078
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-933024283.815,2989167.14849,-933900704.009,-928705986.393,-935589740.849,-935357564.982,-929464014.377,4.0,8935120241610.0,1.7334191682000001e-13,112,0.250003306843,0.00779786128164,0.249546279492,0.124990974078
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-941580265.938,7274158.96714,-938075646.186,-937682369.304,-952487402.075,-950339151.165,-937727848.362,4.0,52913388679200.0,1.7334191682000001e-13,117,0.250003306843,0.00779786128164,0.249546279492,0.124990974078
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-968783799.835,4541029.72555,-969115393.864,-963147224.101,-973757187.512,-973301325.293,-963802042.737,4.0,20620950968300.0,1.7334191682000001e-13,122,0.125001984106,0.0038989409552,0.249546279492,0.124990974078
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-980911813.732,4103209.15108,-981365744.988,-975918585.117,-984997179.837,-984761230.066,-976426893.641,4.0,16836325337500.0,1.7334191682000001e-13,102,0.124994709051,0.00389871403872,0.249546279492,0.124990974078
720.0,-705.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1053060148.43,4323213.06941,-1052807712.26,-1048728341.8,-1057896827.39,-1057527264.45,-1048946443.03,4.0,18690171243500.0,1.7334191682000001e-13,106,0.249996693157,0.00391300505149,0.125226860254,0.124990974078
720.0,-705.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1063882002.97,9974104.50772,-1063206229.85,-1054599729.01,-1074515823.18,-1073870969.78,-1054839118.54,4.0,99482760731000.0,1.7334191682000001e-13,111,0.250003306843,0.00391310857042,0.125226860254,0.124990974078
