npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity,prefix,ProbabilityWeight-ft_capacity
1193.0,-985.0,-19730.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,77017.0,ref,braidwood,illinois,covid,2511257908.0,3178246.6202,2510599950.58,2515646983.42,2508184747.43,2508456427.41,2514980528.98,4.0,10101251578800.0,4.61981158295e-13,0.0006386723777690001,0.111122894195,0.0555555555556,244,0.10345395413899999
1193.0,-985.0,-19730.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,44010.0,ref,braidwood,illinois,covid,2510264169.75,760293.650286,2510153008.15,2511150300.15,2509600362.56,2509609502.82,2511074462.93,4.0,578046434665.0,4.61981158295e-13,0.0006386723777690001,0.111122894195,0.0555555555556,217,0.10345395413899999
1193.0,-985.0,-19730.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,88020.0,ref,braidwood,illinois,covid,2509716759.84,3538041.45896,2509135044.07,2514552550.4,2506044400.8,2506500250.57,2513747671.17,4.0,12517737365300.0,4.61981158295e-13,0.0006386723777690001,0.111122894195,0.0555555555556,253,0.10345395413899999
1193.0,-985.0,-19730.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,22005.0,ref,braidwood,illinois,covid,2507604501.09,2505166.20081,2508161120.46,2509969537.87,2504126225.59,2504655260.16,2509774474.92,4.0,6275857693670.0,4.61981158295e-13,0.0006386723777690001,0.111122894195,0.0555555555556,199,0.10345395413899999
1193.0,-985.0,-19730.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,99022.0,ref,braidwood,illinois,covid,2507233375.98,2539447.3773,2507369244.71,2509996008.5,2504199006.01,2504507848.73,2509768687.02,4.0,6448792982090.0,4.61981158295e-13,0.000319321676902,0.0555589221509,0.0555555555556,262,0.10345395413899999
1193.0,-985.0,-19730.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,11002.0,ref,braidwood,illinois,covid,2492289036.5,3814718.37219,2491146127.98,2497795600.51,2489068289.52,2489317369.2,2496860775.72,4.0,14552076259100.0,4.61981158295e-13,0.000638382138107,0.111072395265,0.0555555555556,190,0.10345395413899999
1193.0,-685.0,-17217.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,22005.0,ref,braidwood,illinois,covid,2479881710.1,3538627.13672,2479260392.1,2484191905.17,2476814151.01,2476866339.53,2483766925.85,4.0,12521882012700.0,4.61981158295e-13,0.0012773447555399998,0.111122894195,0.111111111111,292,0.10345395413899999
1193.0,-685.0,-17217.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,11002.0,ref,braidwood,illinois,covid,2478851836.7,2832086.35235,2478926721.71,2481779571.43,2475774331.94,2475987204.06,2481611630.31,4.0,8020713107180.0,4.61981158295e-13,0.00127676427621,0.111072395265,0.111111111111,283,0.10345395413899999
1193.0,-685.0,-17217.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,44010.0,ref,braidwood,illinois,covid,2477792783.26,3487657.3332300005,2478299363.09,2481178743.5,2473393663.37,2473888558.56,2480987796.21,4.0,12163753674000.0,4.61981158295e-13,0.0012773447555399998,0.111122894195,0.111111111111,310,0.10345395413899999
1193.0,-685.0,-17217.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,33007.0,ref,braidwood,illinois,covid,2476104683.51,4422436.42736,2474966888.53,2482324965.49,2472159991.5,2472437457.4,2481364822.6,4.0,19557943954100.0,4.61981158295e-13,0.0012773447555399998,0.111122894195,0.111111111111,301,0.10345395413899999
1193.0,-685.0,-17217.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,55012.0,ref,braidwood,illinois,covid,2475531284.67,1916730.26003,2475852124.81,2477311215.13,2473109673.93,2473379399.27,2477233993.88,4.0,3673854889710.0,4.61981158295e-13,0.0012773447555399998,0.111122894195,0.111111111111,319,0.10345395413899999
1193.0,-685.0,-17217.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,88020.0,ref,braidwood,illinois,covid,2473671735.11,2024275.6097900001,2473981221.89,2475590916.7,2471133579.96,2471411628.15,2475498560.57,4.0,4097691744380.0,4.61981158295e-13,0.0012773447555399998,0.111122894195,0.111111111111,346,0.10345395413899999
1193.0,-685.0,-17217.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,66015.0,ref,braidwood,illinois,covid,2473554215.17,679859.957036,2473431504.05,2474476884.77,2472876967.79,2472937269.06,2474342956.83,4.0,462209561180.0,4.61981158295e-13,0.0012773447555399998,0.111122894195,0.111111111111,328,0.10345395413899999
