npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity,ProbabilityWeight-ft_capacity,ProbabilityWeight,PointProbability
1280.0,-785.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,7393661.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,677111796.453,19403054.2103,677111796.453,690831827.66,663391765.245,664763768.365,689459824.54,2.0,376478512688000.0,47,0.125000152158,0.25,0.25,0.00781250950985,8.40946932138e-15
1280.0,-985.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,7393661.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,587019794.359,5036736.35658,587019794.359,590581304.792,583458283.926,583814434.969,590225153.748,2.0,25368713125600.0,46,0.125000152158,0.125,0.25,0.00390625475492,8.40946932138e-15
1280.0,-585.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,7393661.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,517700846.4,11593280.568,517700846.4,525898533.706,509503159.094,510322927.824,525078764.975,2.0,134404154329000.0,73,0.125000152158,0.25,0.25,0.00781250950985,8.40946932138e-15
1280.0,-985.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,5545246.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,517130813.228,35886394.7196,517130813.228,542506326.287,491755300.17,494292851.476,539968774.981,2.0,1287833325970000.0,91,0.250000304315,0.125,0.25,0.00781250950985,8.40946932138e-15
1280.0,-385.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,7393661.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,478188310.689,33108858.5813,478188310.689,501599809.11,454776812.269,457117962.111,499258659.268,2.0,1096196516550000.0,99,0.125000152158,0.25,0.25,0.00781250950985,8.40946932138e-15
1280.0,-585.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,5545246.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,464319233.405,153331956.925,464319233.405,572741299.919,355897166.891,366739373.542,561899093.267,2.0,2.35106890143e+16,118,0.250000304315,0.25,0.125,0.00781250950985,8.40946932138e-15
1280.0,-785.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,7393661.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,403043221.075,99937974.2328,403043221.075,473710040.353,332376401.797,339443083.725,466643358.426,2.0,9987598693750000.0,72,0.125000152158,0.25,0.25,0.00781250950985,8.40946932138e-15
1280.0,-785.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,5545246.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,324101876.732,88027190.0812,324101876.732,386346499.767,261857253.696,268081716.0,380122037.463,2.0,7748786193590000.0,117,0.250000304315,0.25,0.125,0.00781250950985,8.40946932138e-15
1280.0,-985.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,7393661.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,313383263.288,11844289.6786,313383263.288,321758440.838,305008085.738,305845603.493,320920923.083,2.0,140287197991000.0,71,0.125000152158,0.125,0.25,0.00390625475492,8.40946932138e-15
1280.0,-185.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,7393661.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,272843660.794,90054208.0225,272843660.794,336521601.961,209165719.627,215533513.744,330153807.844,2.0,8109760382560000.0,125,0.125000152158,0.125,0.125,0.00195312737746,8.40946932138e-15
1280.0,-585.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,7393661.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,195576044.933,29948846.5055,195576044.933,216753077.386,174399012.48,176516715.726,214635374.141,2.0,896933407011000.0,98,0.125000152158,0.25,0.25,0.00781250950985,8.40946932138e-15
1280.0,-985.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,5545246.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,130159347.129,20634155.2086,130159347.129,144749898.201,115568796.057,117027851.164,143290843.094,2.0,425768361173000.0,116,0.250000304315,0.125,0.125,0.00390625475492,8.40946932138e-15
1280.0,-385.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,7393661.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,108294333.902,124356382.417,108294333.902,196227575.193,20361092.6109,29154416.74,187434251.064,2.0,1.54645098479e+16,124,0.125000152158,0.25,0.125,0.00390625475492,8.40946932138e-15
1280.0,-785.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,7393661.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,84335401.8996,44036354.0732,84335401.8996,115473806.484,53196997.3157,56310837.7741,112359966.025,2.0,1939200480060000.0,97,0.125000152158,0.25,0.25,0.00781250950985,8.40946932138e-15
1280.0,-985.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,7393661.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,22327422.2908,10926739.7794,22327422.2908,30053794.085,14601050.4965,15373687.676,29281156.9056,2.0,119393642206000.0,96,0.125000152158,0.125,0.25,0.00390625475492,8.40946932138e-15
1280.0,-585.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,7393661.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-38103949.3871,12955474.3322,-38103949.3871,-28943045.6333,-47264853.1409,-46348762.7655,-29859136.0087,2.0,167844315172000.0,123,0.125000152158,0.25,0.125,0.00390625475492,8.40946932138e-15
1280.0,-785.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,7393661.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-270660125.96,32883783.9291,-270660125.96,-247407779.353,-293912472.567,-291587237.907,-249733014.013,2.0,1081343245500000.0,122,0.125000152158,0.25,0.125,0.00390625475492,8.40946932138e-15
1280.0,-985.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,7393661.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-380258869.753,29176733.307,-380258869.753,-359627803.779,-400889935.728,-398826829.13,-361690910.377,2.0,851281766467000.0,121,0.125000152158,0.125,0.125,0.00195312737746,8.40946932138e-15
1280.0,-985.0,-24756.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-170716714013.0,5155167.46771,-170716714013.0,-170713068760.0,-170720359267.0,-170719994742.0,-170713433285.0,2.0,26575751620200.0,1,0.124999475902,0.125,0.125,0.00195311681096,8.40946932138e-15
1280.0,-785.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-170850142844.0,5111164.81251,-170850142844.0,-170846528705.0,-170853756984.0,-170853395570.0,-170846890119.0,2.0,26124005740700.0,27,0.124999475902,0.25,0.25,0.00781246724386,8.40946932138e-15
