smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-htse_capacity,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-ft_capacity,prefix,PointProbability
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1070303446.21,502170.288339,-1070305318.96,-1069778895.82,-1070824251.11,-1070795031.55,-1069809239.02,4.0,252174998491.0,0.249546279492,0.0038985593187,0.12498974865,0.124990974078,103,3.46688419418e-13
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1082105898.73,901520.5882,-1082337656.69,-1080881972.92,-1082866308.6,-1082840527.09,-1081046809.21,4.0,812739370949.0,0.249546279492,0.00779753121829,0.249992724848,0.124990974078,108,3.46688419418e-13
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1125142724.49,756166.839929,-1125041309.47,-1124397888.59,-1126090390.43,-1125985199.79,-1124442230.22,4.0,571788289808.0,0.249546279492,0.00779798505727,0.250007275152,0.124990974078,113,3.46688419418e-13
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1166454772.63,685787.803407,-1166525067.48,-1165686806.6,-1167082148.95,-1167067133.54,-1165743998.92,4.0,470304911301.0,0.249546279492,0.00779798505727,0.250007275152,0.124990974078,118,3.46688419418e-13
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1209383652.41,1022304.26844,-1209318899.35,-1208425728.16,-1210471082.76,-1210405733.6,-1208452225.49,4.0,1045106017280.0,0.249546279492,0.00389897189959,0.125002976198,0.124990974078,123,3.46688419418e-13
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1229044731.12,958591.575359,-1229434644.27,-1227635058.32,-1229674577.6,-1229666397.32,-1227877186.5,4.0,918897808350.0,0.249546279492,0.0038985593187,0.12498974865,0.124990974078,102,3.46688419418e-13
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1236356948.02,1225834.85204,-1236578335.92,-1234738203.18,-1237532917.08,-1237457375.58,-1234946577.42,4.0,1502671084480.0,0.249546279492,0.00779753121829,0.249992724848,0.124990974078,107,3.46688419418e-13
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1277884454.26,800379.237803,-1278178072.63,-1276727872.07,-1278453799.7,-1278443826.27,-1276914016.52,4.0,640606924306.0,0.249546279492,0.00779798505727,0.250007275152,0.124990974078,112,3.46688419418e-13
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1320290019.73,437760.262858,-1320114421.64,-1319991339.85,-1320939895.8,-1320820427.5,-1320005449.29,4.0,191634047738.0,0.249546279492,0.00779798505727,0.250007275152,0.124990974078,117,3.46688419418e-13
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1362420398.54,375329.103356,-1362590647.4,-1361860134.97,-1362640164.4,-1362637991.3,-1361964457.38,4.0,140871935826.0,0.249546279492,0.00389897189959,0.125002976198,0.124990974078,122,3.46688419418e-13
720.0,-705.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1386983110.57,591261.511823,-1386887968.33,-1386421683.6,-1387734822.01,-1387648927.36,-1386450492.92,4.0,349590175363.0,0.125226860254,0.00195636794902,0.12498974865,0.124990974078,101,3.46688419418e-13
720.0,-705.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1390599609.26,668443.363013,-1390434739.72,-1390068330.15,-1391460627.48,-1391361084.47,-1390068951.42,4.0,446816529556.0,0.125226860254,0.00391294293863,0.249992724848,0.124990974078,106,3.46688419418e-13
