smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight,ProbabilityWeight-meoh_capacity,PointProbability,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity
240.0,-156.0,-2354.0,-1e+200,-1e+200,-1e+200,-1e+200,100252.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-305033292.302,664943.969664,-305033292.302,-304563105.912,-305503478.692,-305456460.053,-304610124.551,2.0,442150482792.0,59,0.0156307763763,0.250079948833,1.28632009175e-11,0.25,0.250012469201
240.0,-187.0,-3136.0,-1e+200,-1e+200,-1e+200,-1e+200,200504.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-309614779.061,498695.560226,-309614779.061,-309262148.049,-309967410.074,-309932146.973,-309297411.15,2.0,248697261790.0,103,0.00390519556845,0.249920051167,1.28632009175e-11,0.125,0.125006234601
240.0,-187.0,-2354.0,-1e+200,-1e+200,-1e+200,-1e+200,50126.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-314595364.297,313984.179538,-314595364.297,-314373343.954,-314817384.639,-314795182.605,-314395545.988,2.0,98586065000.0,29,0.00781460861388,0.250079948833,1.28632009175e-11,0.125,0.249987530799
240.0,-125.0,-1572.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-315179323.406,1574324.14208,-315179323.406,-314066108.13,-316292538.683,-316181217.155,-314177429.657,2.0,2478496504340.0,15,0.00390691451979,0.125039974416,1.28632009175e-11,0.25,0.124981296198
240.0,-125.0,-1572.0,-1e+200,-1e+200,-1e+200,-1e+200,50126.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-316021313.25,914693.24556,-316021313.25,-315374527.454,-316668099.047,-316603420.467,-315439206.033,2.0,836663733474.0,40,0.00781460861388,0.125039974416,1.28632009175e-11,0.25,0.249987530799
240.0,-125.0,-2354.0,-1e+200,-1e+200,-1e+200,-1e+200,200504.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-316123301.322,266597.541894,-316123301.322,-315934788.392,-316311814.252,-316292962.959,-315953639.685,2.0,71074249343.9,114,0.00781538818817,0.250079948833,1.28632009175e-11,0.25,0.125006234601
240.0,-63.0,-1572.0,-1e+200,-1e+200,-1e+200,-1e+200,200504.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-320289827.047,2308656.12078,-320289827.047,-318657360.649,-321922293.445,-321759046.806,-318820607.288,2.0,5329893084030.0,125,0.00195384704704,0.125039974416,1.28632009175e-11,0.125,0.125006234601
240.0,-187.0,-2354.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-323630815.399,2430905.4284,-323630815.399,-321911905.687,-325349725.112,-325177834.141,-322083796.658,2.0,5909301201810.0,4,0.00390691451979,0.250079948833,1.28632009175e-11,0.125,0.124981296198
240.0,-94.0,-1572.0,-1e+200,-1e+200,-1e+200,-1e+200,150378.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-326637768.059,590296.541814,-326637768.059,-326220365.371,-327055170.747,-327013430.478,-326262105.64,2.0,348450007278.0,95,0.00781538818817,0.125039974416,1.28632009175e-11,0.25,0.250012469201
240.0,-156.0,-2354.0,-1e+200,-1e+200,-1e+200,-1e+200,150378.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-327966574.197,1667271.41648,-327966574.197,-326787635.273,-329145513.122,-329027619.23,-326905529.165,2.0,2779793976200.0,84,0.0156307763763,0.250079948833,1.28632009175e-11,0.25,0.250012469201
240.0,-187.0,-2354.0,-1e+200,-1e+200,-1e+200,-1e+200,100252.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-339356926.889,2990287.11497,-339356926.889,-337242474.592,-341471379.186,-341259933.956,-337453919.822,2.0,8941817029980.0,54,0.00781538818817,0.250079948833,1.28632009175e-11,0.125,0.250012469201
240.0,-125.0,-1572.0,-1e+200,-1e+200,-1e+200,-1e+200,100252.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-339419770.019,3104540.95365,-339419770.019,-337224528.058,-341615011.98,-341395487.784,-337444052.255,2.0,9638174532890.0,65,0.00781538818817,0.125039974416,1.28632009175e-11,0.25,0.250012469201
240.0,-156.0,-2354.0,-1e+200,-1e+200,-1e+200,-1e+200,200504.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-348622135.5,188113.934154,-348622135.5,-348489118.862,-348755152.139,-348741850.475,-348502420.526,2.0,35386852223.1,109,0.00781538818817,0.250079948833,1.28632009175e-11,0.25,0.125006234601
240.0,-94.0,-1572.0,-1e+200,-1e+200,-1e+200,-1e+200,200504.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-348791758.825,730821.906934,-348791758.825,-348274989.699,-349308527.952,-349256851.039,-348326666.612,2.0,534100659654.0,120,0.00390769409408,0.125039974416,1.28632009175e-11,0.25,0.125006234601
240.0,-156.0,-1572.0,-1e+200,-1e+200,-1e+200,-1e+200,50126.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-352172127.558,605304.198025,-352172127.558,-351744112.855,-352600142.261,-352557340.791,-351786914.325,2.0,366393172147.0,35,0.00781460861388,0.125039974416,1.28632009175e-11,0.25,0.249987530799
240.0,-156.0,-1572.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-356020072.962,461154.668055,-356020072.962,-355693987.369,-356346158.555,-356313549.996,-355726595.929,2.0,212663627869.0,10,0.00390691451979,0.125039974416,1.28632009175e-11,0.25,0.124981296198
240.0,-125.0,-1572.0,-1e+200,-1e+200,-1e+200,-1e+200,150378.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-360397470.394,1577394.11088,-360397470.394,-359282084.321,-361512856.466,-361401317.859,-359393622.929,2.0,2488172181020.0,90,0.00781538818817,0.125039974416,1.28632009175e-11,0.25,0.250012469201
240.0,-187.0,-2354.0,-1e+200,-1e+200,-1e+200,-1e+200,150378.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-360521373.44,1264523.44068,-360521373.44,-359627220.34,-361415526.539,-361326111.229,-359716635.65,2.0,1599019532040.0,79,0.00781538818817,0.250079948833,1.28632009175e-11,0.125,0.250012469201
240.0,-156.0,-1572.0,-1e+200,-1e+200,-1e+200,-1e+200,100252.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-373497185.417,1447242.76698,-373497185.417,-372473830.243,-374520540.592,-374418205.074,-372576165.76,2.0,2094511626570.0,60,0.00781538818817,0.125039974416,1.28632009175e-11,0.25,0.250012469201
240.0,-187.0,-2354.0,-1e+200,-1e+200,-1e+200,-1e+200,200504.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-381305029.157,1827895.9984,-381305029.157,-380012511.501,-382597546.813,-382468295.047,-380141763.267,2.0,3341203780980.0,104,0.00390769409408,0.250079948833,1.28632009175e-11,0.125,0.125006234601
240.0,-125.0,-1572.0,-1e+200,-1e+200,-1e+200,-1e+200,200504.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-382639432.861,266572.614863,-382639432.861,-382450937.557,-382827928.165,-382809078.634,-382469787.088,2.0,71060958995.0,115,0.00390769409408,0.125039974416,1.28632009175e-11,0.25,0.125006234601
240.0,-187.0,-1572.0,-1e+200,-1e+200,-1e+200,-1e+200,50126.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-389740523.806,227282.973186,-389740523.806,-389579810.475,-389901237.138,-389885165.805,-389595881.808,2.0,51657549900.2,30,0.00390730430694,0.125039974416,1.28632009175e-11,0.125,0.249987530799
240.0,-187.0,-1572.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-393759301.548,1772283.64673,-393759301.548,-392506107.764,-395012495.333,-394887175.955,-392631427.142,2.0,3140989324470.0,5,0.0019534572599,0.125039974416,1.28632009175e-11,0.125,0.124981296198
240.0,-156.0,-1572.0,-1e+200,-1e+200,-1e+200,-1e+200,150378.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-395151282.606,1994497.34556,-395151282.606,-393740960.007,-396561605.204,-396420572.944,-393881992.267,2.0,3978019661450.0,85,0.00781538818817,0.125039974416,1.28632009175e-11,0.25,0.250012469201
240.0,-187.0,-1572.0,-1e+200,-1e+200,-1e+200,-1e+200,100252.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-410556443.94,518999.055427,-410556443.94,-410189456.189,-410923431.692,-410886732.917,-410226154.964,2.0,269360019534.0,55,0.00390769409408,0.125039974416,1.28632009175e-11,0.125,0.250012469201
240.0,-156.0,-1572.0,-1e+200,-1e+200,-1e+200,-1e+200,200504.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-419568291.641,229703.129885,-419568291.641,-419405867.0,-419730716.281,-419714473.817,-419422109.464,2.0,52763527878.9,110,0.00390769409408,0.125039974416,1.28632009175e-11,0.25,0.125006234601
