npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,prefix,ProbabilityWeight-h2_storage_capacity,PointProbability,ProbabilityWeight-ft_capacity,ProbabilityWeight-htse_capacity
894.0,-703.0,-15441.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,294557.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1879158147.78,503578.737718,1879158147.78,1879514231.73,1878802063.84,1878837672.24,1879478623.33,2.0,253591545082.0,0.0013760884514,353,0.111113311568,1.19052167158e-13,0.111111111111,0.111460957179
894.0,-791.0,-15441.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,176734.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1876832099.24,3229376.26517,1876832099.24,1879115613.1,1874548585.39,1874776936.77,1878887261.71,2.0,10428871062100.0,0.00136831394038,332,0.111113311568,1.19052167158e-13,0.111111111111,0.110831234257
894.0,-791.0,-15441.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1875601671.54,28360.2173296,1875601671.54,1875621725.24,1875581617.84,1875583623.21,1875619719.87,2.0,804301926.979,0.000684035030532,302,0.0555467537293,1.19052167158e-13,0.111111111111,0.110831234257
894.0,-614.0,-13224.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1874671622.91,2581903.85627,1874671622.91,1876497304.63,1872845941.18,1873028509.35,1876314736.46,2.0,6666227523010.0,0.000687921593205,404,0.0555467537293,1.19052167158e-13,0.111111111111,0.111460957179
894.0,-879.0,-17658.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,412380.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1873695406.76,2423787.49818,1873695406.76,1875409283.33,1871981530.18,1872152917.84,1875237895.68,2.0,5874745836340.0,0.00068415116354,271,0.111112368515,1.19052167158e-13,0.111111111111,0.0554156171285
894.0,-791.0,-17658.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,530203.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1873007449.3,2101843.48559,1873007449.3,1874493677.08,1871521221.52,1871669844.29,1874345054.3,2.0,4417746037910.0,0.00068416277684,292,0.0555571273102,1.19052167158e-13,0.111111111111,0.110831234257
894.0,-879.0,-15441.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,58911.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1866319162.29,1199900.45565,1866319162.29,1867167620.03,1865470704.54,1865555550.31,1867082774.26,2.0,1439761103470.0,0.000684098903686,311,0.11110388104,1.19052167158e-13,0.111111111111,0.0554156171285
894.0,-614.0,-13224.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,117823.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1865989685.41,4170677.78724,1865989685.41,1868938799.96,1863040570.87,1863335482.32,1868643888.5,2.0,17394553205000.0,0.0013760884514,424,0.111113311568,1.19052167158e-13,0.111111111111,0.111460957179
894.0,-703.0,-15441.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,353469.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1854235550.99,2598010.81276,1854235550.99,1856072622.05,1852398479.92,1852582187.03,1855888914.94,2.0,6749660183210.0,0.0013760884514,363,0.111113311568,1.19052167158e-13,0.111111111111,0.111460957179
894.0,-791.0,-15441.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,235646.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1851192593.09,2651269.86531,1851192593.09,1853067323.99,1849317862.19,1849505335.28,1852879850.9,2.0,7029231898710.0,0.00136831394038,342,0.111113311568,1.19052167158e-13,0.111111111111,0.110831234257
894.0,-879.0,-17658.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,471291.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1843033175.66,1328698.67273,1843033175.66,1843972707.5,1842093643.82,1842187597.0,1843878754.31,2.0,1765440162900.0,0.00068415697019,281,0.111113311568,1.19052167158e-13,0.111111111111,0.0554156171285
894.0,-879.0,-15441.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,117823.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1838536895.76,2878444.18496,1838536895.76,1840572263.16,1836501528.36,1836705065.1,1840368726.42,2.0,8285440925910.0,0.00068415697019,321,0.111113311568,1.19052167158e-13,0.111111111111,0.0554156171285
894.0,-614.0,-13224.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,176734.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1837942044.43,2101766.20522,1837942044.43,1839428217.57,1836455871.3,1836604488.61,1839279600.26,2.0,4417421181390.0,0.0013760884514,434,0.111113311568,1.19052167158e-13,0.111111111111,0.111460957179
894.0,-703.0,-13224.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,58911.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1830815950.25,151389.795896,1830815950.25,1830922999.0,1830708901.5,1830719606.37,1830912294.13,2.0,22918870301.3,0.00137597165855,413,0.11110388104,1.19052167158e-13,0.111111111111,0.111460957179
894.0,-703.0,-15441.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,412380.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1829106118.7,1201043.62346,1829106118.7,1829955384.79,1828256852.61,1828341779.22,1829870458.18,2.0,1442505785450.0,0.00137607677212,373,0.111112368515,1.19052167158e-13,0.111111111111,0.111460957179
894.0,-791.0,-15441.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,294557.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1825337896.82,2878615.88546,1825337896.82,1827373385.64,1823302408.01,1823505956.89,1827169836.76,2.0,8286429416000.0,0.00136831394038,352,0.111113311568,1.19052167158e-13,0.111111111111,0.110831234257
894.0,-879.0,-17658.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,530203.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1815957131.02,1640542.87465,1815957131.02,1817117170.02,1814797092.03,1814913095.93,1817001166.12,2.0,2691380923550.0,0.00034208138842,291,0.0555571273102,1.19052167158e-13,0.111111111111,0.0554156171285
