smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,co2_location_label,fuel_region_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity,prefix,PointProbability,ProbabilityWeight-ft_capacity
720.0,-498.0,-12526.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,340779013.175,978722.318345,340779013.175,341471074.364,340086951.987,340156158.106,341401868.245,2.0,957897376426.0,0.00136431765795,0.110483870968,0.111112156236,344,1.21719856843e-13,0.111136071887
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,338993176.778,623885.624643,338993176.778,339434330.534,338552023.022,338596138.398,339390215.158,2.0,389233272636.0,0.00137388660449,0.111290322581,0.111112744118,273,1.21719856843e-13,0.111103979461
720.0,-567.0,-12526.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,337485012.402,2609511.70925,337485012.402,339330215.827,335639808.977,335824329.319,339145695.485,2.0,6809551360720.0,0.00137428345215,0.111290322581,0.111112744118,333,1.21719856843e-13,0.111136071887
720.0,-636.0,-12526.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,336631023.301,1508238.06898,336631023.301,337697508.667,335564537.935,335671186.471,337590860.13,2.0,2274782072720.0,0.000687065379015,0.111290322581,0.0555501992922,302,1.21719856843e-13,0.111136071887
720.0,-636.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,332607446.183,237072.344305,332607446.183,332775081.645,332439810.721,332456574.267,332758318.099,2.0,56203296434.1,0.00137387933544,0.111290322581,0.111112156236,262,1.21719856843e-13,0.111103979461
720.0,-705.0,-15988.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,850520.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,332309827.596,154107.169285,332309827.596,332418797.82,332200857.371,332211754.394,332407900.798,2.0,23749019625.0,0.00034346983386,0.0556451612903,0.0555560781178,191,1.21719856843e-13,0.111103979461
720.0,-636.0,-12526.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,322784864.27,675831.669221,322784864.27,323262749.426,322306979.114,322354767.629,323214960.91,2.0,456748445122.0,0.00137428345215,0.111290322581,0.111112744118,322,1.21719856843e-13,0.111136071887
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,472511.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,321051575.109,735120.883752,321051575.109,321571384.071,320531766.148,320583747.044,321519403.175,2.0,540402713728.0,0.000686939667721,0.0556451612903,0.111112156236,251,1.21719856843e-13,0.111103979461
720.0,-705.0,-12526.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,303788421.141,268867.483052,303788421.141,303978539.161,303598303.12,303617314.922,303959527.359,2.0,72289723443.0,0.000687101734759,0.0556451612903,0.11110627741,311,1.21719856843e-13,0.111136071887
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,298491116.876,370834.362899,298491116.876,298753336.368,298228897.383,298255119.332,298727114.419,2.0,137518124707.0,0.00137388660449,0.111290322581,0.111112744118,283,1.21719856843e-13,0.111103979461
