npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight,ProbabilityWeight-ft_capacity,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity,prefix
1280.0,-785.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,7393661.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-1593107411.36,78261032.183,-1593107411.36,-1537768504.8,-1648446317.91,-1642912427.26,-1543302395.45,2.0,6124789158350000.0,8.40946932138e-15,0.00781250950985,0.25,0.25,0.125000152158,72
1280.0,-585.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,7393661.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-1626166965.87,156853928.836,-1626166965.87,-1515254489.14,-1737079442.61,-1725988194.93,-1526345736.81,2.0,2.46031549914e+16,8.40946932138e-15,0.00781250950985,0.25,0.25,0.125000152158,98
1280.0,-985.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,7393661.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-1689092477.35,35359785.832,-1689092477.35,-1664089333.01,-1714095621.69,-1711595307.26,-1666589647.44,2.0,1250314454090000.0,8.40946932138e-15,0.00390625475492,0.25,0.125,0.125000152158,71
1280.0,-385.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,7393661.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-1726706763.54,64006137.2984,-1726706763.54,-1681447589.82,-1771965937.26,-1767440019.89,-1685973507.19,2.0,4096785611870000.0,8.40946932138e-15,0.00390625475492,0.125,0.25,0.125000152158,124
1280.0,-785.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,7393661.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-1914327596.01,,-1914327596.01,-1914327596.01,-1914327596.01,-1914327596.01,-1914327596.01,1.0,,8.40946932138e-15,0.00781250950985,0.25,0.25,0.125000152158,97
1280.0,-585.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,7393661.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-1968165894.25,5942908.89143,-1968165894.25,-1963963623.08,-1972368165.43,-1971947938.31,-1964383850.19,2.0,35318166091800.0,8.40946932138e-15,0.00390625475492,0.125,0.25,0.125000152158,123
1280.0,-985.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,7393661.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-2074194926.31,6905685.70441,-2074194926.31,-2069311869.12,-2079077983.5,-2078589677.78,-2069800174.84,2.0,47688495048200.0,8.40946932138e-15,0.00390625475492,0.25,0.125,0.125000152158,96
1280.0,-785.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,7393661.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-2180274857.25,121741862.593,-2180274857.25,-2094190360.66,-2266359353.85,-2257750904.19,-2102798810.32,2.0,1.48210811076e+16,8.40946932138e-15,0.00390625475492,0.125,0.25,0.125000152158,122
1280.0,-985.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,7393661.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-2382046636.82,40464030.1081,-2382046636.82,-2353434246.74,-2410659026.91,-2407797787.9,-2356295485.75,2.0,1637337732590000.0,8.40946932138e-15,0.00195312737746,0.125,0.125,0.125000152158,121
1280.0,-985.0,-24756.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-171131197034.0,18177456.8621,-171131197034.0,-171118343631.0,-171144050437.0,-171142765097.0,-171119628971.0,2.0,330419937974000.0,8.40946932138e-15,0.00195311681096,0.125,0.125,0.124999475902,1
