npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-ft_capacity,ProbabilityWeight-htse_capacity,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity,prefix,PointProbability
769.0,-308.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,303209.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-159775183247.0,6655656.55271,-159775183247.0,-159770476987.0,-159779889507.0,-159779418881.0,-159770947613.0,2.0,44297764147600.0,0.25,0.250420168067,0.0156516476548,0.250006184017,94,2.78193391732e-13
769.0,-308.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,404278.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-159855696459.0,32954094.1452,-159855696459.0,-159832394395.0,-159878998522.0,-159876668316.0,-159834724602.0,2.0,1085972320930000.0,0.25,0.250420168067,0.00782578511235,0.125002473607,99,2.78193391732e-13
769.0,-754.0,-18951.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-160080194819.0,4466.74502674,-160080194819.0,-160080191661.0,-160080197978.0,-160080197662.0,-160080191977.0,2.0,19951811.1339,0.125,0.125210084034,0.00195627206031,0.124991342377,1,2.78193391732e-13
769.0,-754.0,-18951.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,101070.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-160135534338.0,10254.0352513,-160135534338.0,-160135527087.0,-160135541589.0,-160135540864.0,-160135527813.0,2.0,105145238.935,0.125,0.125210084034,0.0039127183384,0.249993815983,6,2.78193391732e-13
769.0,-754.0,-18951.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,202139.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-160190871527.0,3244.66667087,-160190871527.0,-160190869233.0,-160190873821.0,-160190873592.0,-160190869462.0,2.0,10527861.8051,0.125,0.125210084034,0.0039129119137,0.250006184017,11,2.78193391732e-13
769.0,-754.0,-18951.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,303209.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-160246218886.0,2213.02690113,-160246218886.0,-160246217321.0,-160246220451.0,-160246220295.0,-160246217478.0,2.0,4897488.06511,0.125,0.125210084034,0.0039129119137,0.250006184017,16,2.78193391732e-13
769.0,-754.0,-18951.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,404278.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-160301557310.0,171.129486943,-160301557310.0,-160301557189.0,-160301557431.0,-160301557419.0,-160301557201.0,2.0,29285.3013015,0.125,0.125210084034,0.00195644627809,0.125002473607,21,2.78193391732e-13
769.0,-159.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-614421329399.0,7930468.7528,-614421329399.0,-614415721711.0,-614426937088.0,-614426376319.0,-614416282480.0,2.0,62892334639100.0,0.125,0.125210084034,0.00195627206031,0.124991342377,105,2.78193391732e-13
769.0,-159.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,101070.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-614475025042.0,7993962.65509,-614475025042.0,-614469372457.0,-614480677627.0,-614480112369.0,-614469937715.0,2.0,63903438931000.0,0.125,0.125210084034,0.0039127183384,0.249993815983,110,2.78193391732e-13
769.0,-159.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,202139.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-614579697389.0,15187727.2762,-614579697389.0,-614568958044.0,-614590436734.0,-614589362799.0,-614570031978.0,2.0,230667059816000.0,0.125,0.125210084034,0.0039129119137,0.250006184017,115,2.78193391732e-13
