smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-ft_capacity,prefix
1200.0,-785.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-3292980040.13,623799.090511,-3293264677.07,-3292048173.0,-3293342633.37,-3293338798.36,-3292222790.18,4.0,389125305323.0,9.302483829449999e-14,0.00308647235166,0.111111111111,0.250004260484,0.111111111111,223
1200.0,-785.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,396089.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-3332663266.91,525914.498952,-3332675252.05,-3332007834.25,-3333294729.29,-3333205379.76,-3332104374.86,4.0,276586060208.0,9.302483829449999e-14,0.00308648404023,0.111111111111,0.250005207258,0.111111111111,233
1200.0,-885.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,132030.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-3343802888.3,402783.095624,-3343736825.27,-3343456190.62,-3344281712.04,-3344238000.78,-3343460264.06,4.0,162234222121.0,9.302483829449999e-14,0.00308635546595,0.111111111111,0.249994792742,0.111111111111,212
1200.0,-885.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-3346036650.83,86381.7384888,-3346000948.05,-3345981180.13,-3346163527.1,-3346141868.12,-3345981417.43,4.0,7461804744.35,9.302483829449999e-14,0.0015431251344,0.111111111111,0.124993135887,0.111111111111,202
1200.0,-785.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,528119.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-3373571101.35,797601.750842,-3373406766.29,-3372886547.39,-3374584325.44,-3374471265.43,-3372901006.37,4.0,636168552946.0,9.302483829449999e-14,0.00154324202011,0.111111111111,0.125002603629,0.111111111111,243
1200.0,-885.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-3384649351.26,1889300.15597,-3384214473.87,-3382863815.93,-3387304641.36,-3386873187.24,-3383034343.62,4.0,3569455079360.0,9.302483829449999e-14,0.00308647235166,0.111111111111,0.250004260484,0.111111111111,222
1200.0,-485.0,-12191.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,132030.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-3398861752.85,738541.744658,-3398614516.43,-3398320679.52,-3399897299.03,-3399745818.7,-3398323818.0,4.0,545443908603.0,9.302483829449999e-14,0.00308635546595,0.111111111111,0.249994792742,0.111111111111,266
1200.0,-885.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,396089.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-3425815840.9,797524.789145,-3425617804.66,-3425183134.49,-3426844619.82,-3426725201.86,-3425183730.69,4.0,636045789300.0,9.302483829449999e-14,0.00308648404023,0.111111111111,0.250005207258,0.111111111111,232
1200.0,-485.0,-12191.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-3436117725.62,521164.410391,-3436126027.94,-3435611777.67,-3436607068.94,-3436594843.28,-3435628984.72,4.0,271612342659.0,9.302483829449999e-14,0.00308647235166,0.111111111111,0.250004260484,0.111111111111,276
1200.0,-985.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,132030.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-3437326111.84,728312.759686,-3437627817.04,-3436245635.29,-3437803177.97,-3437789532.93,-3436440303.45,4.0,530439475921.0,9.302483829449999e-14,0.00154317773297,0.0555555555556,0.249994792742,0.111111111111,211
