smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,prefix,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity,ProbabilityWeight-ft_capacity,PointProbability
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1984546.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1246141499.3,32139044.9178,-1247446736.98,-1206329722.63,-1283342800.62,-1279151022.91,-1211304642.94,4.0,1032918208230000.0,0.00391307159924,120,0.250000944804,0.125226860254,0.124990974078,4.95258127397e-14
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1251499037.83,15172056.5971,-1247588617.0,-1238743854.71,-1272075062.61,-1269314039.21,-1239158625.61,4.0,230191301384000.0,0.00391363970343,71,0.125000566882,0.125226860254,0.250018051845,4.95258127397e-14
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1272084473.66,22872144.5654,-1272913777.87,-1245869342.15,-1296640996.77,-1294849667.44,-1248158254.0,4.0,523134997021000.0,0.0078261491138,99,0.125000566882,0.250453720508,0.249981948155,4.95258127397e-14
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1984546.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1343649960.66,15713736.1262,-1340808050.91,-1330604320.96,-1362379419.85,-1360657266.73,-1330621328.23,4.0,246921503044000.0,0.00782614319848,119,0.250000944804,0.250453720508,0.124990974078,4.95258127397e-14
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1360246336.94,26934895.0582,-1347813815.97,-1344767273.51,-1400590442.29,-1392704380.09,-1345193823.13,4.0,725488571795000.0,0.00779778760718,112,0.250000944804,0.249546279492,0.124990974078,4.95258127397e-14
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1984546.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1367177570.22,16237544.982,-1360843230.88,-1355759394.94,-1391264424.17,-1386745569.03,-1356477646.47,4.0,263657867042000.0,0.00782614319848,91,0.250000944804,0.125226860254,0.249981948155,4.95258127397e-14
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1392772131.81,33019997.5692,-1378984732.33,-1371709809.72,-1441409252.87,-1433003609.85,-1371843013.06,4.0,1090320239470000.0,0.00779779350107,98,0.125000566882,0.249546279492,0.249981948155,4.95258127397e-14
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1478718304.33,9823150.91395,-1476677821.83,-1469116169.94,-1492401403.74,-1490182275.68,-1470111008.49,4.0,96494293878200.0,0.00195653727845,125,0.125000566882,0.125226860254,0.124990974078,4.95258127397e-14
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1984546.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1501360994.15,15308220.1776,-1496224950.51,-1489501643.82,-1523492431.77,-1519874538.13,-1490037911.27,4.0,234341605006000.0,0.00779778760718,118,0.250000944804,0.249546279492,0.124990974078,4.95258127397e-14
720.0,-705.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1501826016.41,11194323.939,-1497349869.24,-1494325172.01,-1518279155.17,-1515456159.83,-1494462479.04,4.0,125312888450000.0,0.00391307159924,111,0.250000944804,0.125226860254,0.124990974078,4.95258127397e-14
