smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,ProbabilityWeight-ft_capacity,ProbabilityWeight-h2_storage_capacity,prefix,ProbabilityWeight-htse_capacity,PointProbability
720.0,-705.1,-6033.7,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-643851532.483,3580356.87669,-643851532.483,-641319837.857,-646383227.11,-646130057.647,-641573007.319,2.0,12818955364500.0,0.00390597442681,0.25,0.124991181658,76,0.125,2.43433201164e-13
720.0,-705.1,-6033.7,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,212630.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-648165223.517,1611147.58335,-648165223.517,-647025970.136,-649304476.899,-649190551.561,-647139895.474,2.0,2595796535320.0,0.00781268371546,0.25,0.250005878895,86,0.125,2.43433201164e-13
720.0,-240.1,-2138.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,212630.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-681840140.171,418086.47237,-681840140.171,-681544508.391,-682135771.951,-682106208.773,-681574071.569,2.0,174796298379.0,0.00781258342813,0.12499839544,0.250005878895,114,0.25,0.0
720.0,-705.1,-6033.7,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,318945.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-695207780.048,116517.030743,-695207780.048,-695125390.065,-695290170.03,-695281931.032,-695133629.063,2.0,13576218453.3,0.00781268371546,0.25,0.250005878895,91,0.125,2.43433201164e-13
720.0,-240.1,-2138.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,318945.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-725788124.531,165305.72839,-725788124.531,-725671235.73,-725905013.333,-725893324.452,-725682924.61,2.0,27325983838.5,0.00781258342813,0.12499839544,0.250005878895,119,0.25,0.0
720.0,-705.1,-6033.7,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,425260.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-740340774.112,977096.437368,-740340774.112,-739649862.595,-741031685.628,-740962594.477,-739718953.747,2.0,954717447917.0,0.00390634185773,0.25,0.125002939447,96,0.125,2.43433201164e-13
720.0,-240.1,-2138.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,425260.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-777717134.838,784131.020407,-777717134.838,-777162670.476,-778271599.199,-778216152.763,-777218116.912,2.0,614861457164.0,0.00390629171407,0.12499839544,0.125002939447,124,0.25,0.0
720.0,-395.1,-2138.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-805791745.038,2707613.61181,-805791745.038,-803877173.092,-807706316.983,-807514859.789,-804068630.287,2.0,7331171470850.0,0.00390592428786,0.12499839544,0.124991181658,103,0.25,0.0
720.0,-395.1,-2138.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,106315.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-813347737.793,267420.13694,-813347737.793,-813158643.201,-813536832.386,-813517922.926,-813177552.66,2.0,71513529641.2,0.00781221600193,0.12499839544,0.249994121105,108,0.25,0.0
720.0,-395.1,-2138.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,212630.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-856656898.801,567040.49559,-856656898.801,-856255940.622,-857057856.981,-857017761.163,-856296036.44,2.0,321534923639.0,0.00781258342813,0.12499839544,0.250005878895,113,0.25,0.0
