smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,PointProbability,prefix,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-ft_capacity
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1335649773.66,15524679.8986,-1332446532.97,-1321938591.64,-1355767437.07,-1353380763.31,-1322403320.98,4.0,241015685955000.0,0.00779778760718,4.95258127397e-14,113,0.249546279492,0.250000944804,0.124990974078
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1339188814.23,16339602.7444,-1340258364.57,-1322343881.85,-1353894645.94,-1353682172.87,-1323198085.12,4.0,266982617843000.0,0.00779891969886,4.95258127397e-14,72,0.249546279492,0.125000566882,0.250018051845
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1984546.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1349935193.51,12643368.596,-1350490036.73,-1333969291.13,-1364791409.45,-1362839797.0,-1336253809.52,4.0,159854769454000.0,0.00391307159924,4.95258127397e-14,120,0.125226860254,0.250000944804,0.124990974078
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1984546.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1404887518.64,13007343.4911,-1405339971.18,-1388627979.51,-1420242152.67,-1418287973.0,-1390853630.71,4.0,169190984696000.0,0.0155955752144,4.95258127397e-14,92,0.249546279492,0.250000944804,0.249981948155
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1477954454.26,32117568.8661,-1469860233.95,-1448565908.22,-1523531440.91,-1515985365.91,-1451255451.04,4.0,1031538229870000.0,0.0078261491138,4.95258127397e-14,99,0.250453720508,0.125000566882,0.249981948155
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1484566862.88,19653839.5874,-1476181340.09,-1472005510.15,-1513899261.17,-1508251676.95,-1472621780.71,4.0,386273410528000.0,0.00391363970343,4.95258127397e-14,71,0.125226860254,0.125000566882,0.250018051845
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1499391999.34,16418160.0777,-1500289228.16,-1482155476.44,-1514834064.58,-1514400025.17,-1483127853.16,4.0,269555980338000.0,0.00779778760718,4.95258127397e-14,112,0.249546279492,0.250000944804,0.124990974078
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1984546.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1538250670.91,35385952.6682,-1525275286.69,-1512370778.9,-1590081331.38,-1581206227.66,-1513460652.08,4.0,1252165646230000.0,0.00782614319848,4.95258127397e-14,119,0.250453720508,0.250000944804,0.124990974078
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1984546.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1577600459.85,10665282.692,-1578282566.98,-1565000323.05,-1588836382.4,-1588042093.48,-1566203876.25,4.0,113748254901000.0,0.00782614319848,4.95258127397e-14,91,0.125226860254,0.250000944804,0.249981948155
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1615910781.07,13691507.1699,-1616048284.67,-1600224281.53,-1631322273.41,-1629972441.1,-1601656616.0,4.0,187457368584000.0,0.00779779350107,4.95258127397e-14,98,0.249546279492,0.125000566882,0.249981948155
