npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-h2_storage_capacity,PointProbability,prefix,ProbabilityWeight-ft_capacity,ProbabilityWeight-htse_capacity,ProbabilityWeight
522.0,-320.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,135930.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,124765211.661,531157.239788,124519749.364,125560060.928,124461286.99,124465651.096,125408419.443,4.0,282128013379.0,0.250009196248,1.0406674226900002e-12,113,0.125026522385,0.249333333333,0.00779360657253
522.0,-320.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,203895.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,103379108.581,549822.627681,103381567.955,104031835.324,102721463.092,102797155.66,103957618.381,4.0,302304921910.0,0.250009196248,1.0406674226900002e-12,118,0.125026522385,0.249333333333,0.00779360657253
522.0,-320.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,271860.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,82083923.5714,424816.051759,82100284.5941,82579742.828,81555382.2693,81623836.8887,82521104.8222,4.0,180468677832.0,0.125004598124,1.0406674226900002e-12,123,0.125026522385,0.249333333333,0.00389680328627
522.0,-413.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,64743943.3823,128331.44173,64695906.1495,64932793.2326,64651167.9974,64655459.6073,64899679.2831,4.0,16468958936.4,0.124986205628,1.0406674226900002e-12,102,0.125026522385,0.249333333333,0.00389622993185
522.0,-413.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,67965.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,64709127.8678,142033.29446,64652973.5711,64920044.091,64610520.2382,64616659.7082,64880212.0429,4.0,20173456735.2,0.249990803752,1.0406674226900002e-12,107,0.125026522385,0.249333333333,0.00779303321812
522.0,-413.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,135930.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,42769486.2377,257620.066972,42803773.9958,43022304.8018,42448092.1576,42483214.1517,43007755.4625,4.0,66368098906.9,0.250009196248,1.0406674226900002e-12,112,0.125026522385,0.249333333333,0.00779360657253
522.0,-413.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,203895.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,21935024.9882,214033.535448,21940668.8062,22190956.9573,21667805.3832,21706460.3619,22155688.2694,4.0,45810354296.5,0.250009196248,1.0406674226900002e-12,117,0.125026522385,0.249333333333,0.00779360657253
522.0,-413.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,271860.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,284576.797025,212831.672516,280810.310838,534013.067386,42673.4990389,65348.3615767,509078.313136,4.0,45297320825.9,0.125004598124,1.0406674226900002e-12,122,0.125026522385,0.249333333333,0.00389680328627
522.0,-507.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,67965.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-18959031.3131,518112.006549,-18939575.591,-18508707.604,-19448266.4663,-19435816.0419,-18509484.5951,4.0,268440051330.0,0.249990803752,1.0406674226900002e-12,106,0.125026522385,0.125333333333,0.00391735359627
522.0,-507.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-20545489.3454,281615.174736,-20607263.3951,-20160771.4409,-20806659.1507,-20789331.7925,-20215163.2289,4.0,79307106641.6,0.124986205628,1.0406674226900002e-12,101,0.125026522385,0.125333333333,0.00195853269302
